customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ExpectedTotal,LeakageDiff,TenureGroup,ChargeGroup,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
7590-VHVEG,0,0,1,0,1,0,1,29.85,29.85,0,29.85,0.0,0-1 yr,Low ($0-35),False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
5575-GNVDE,1,0,0,0,34,1,0,56.95,1889.5,0,1936.3000000000002,46.80000000000018,2-4 yr,Mid ($35-65),False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
3668-QPYBK,1,0,0,0,2,1,1,53.85,108.15,1,107.7,0.45000000000000284,0-1 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
7795-CFOCW,1,0,0,0,45,0,0,42.3,1840.75,0,1903.4999999999998,62.74999999999977,2-4 yr,Mid ($35-65),False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
9237-HQITU,0,0,0,0,2,1,1,70.7,151.65,1,141.4,10.25,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9305-CDSKC,0,0,0,0,8,1,1,99.65,820.5,1,797.2,23.299999999999955,0-1 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
1452-KIOVK,1,0,0,1,22,1,1,89.1,1949.4,0,1960.1999999999998,10.799999999999727,1-2 yr,High ($65-90),True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
6713-OKOMC,0,0,0,0,10,0,0,29.75,301.9,0,297.5,4.399999999999977,0-1 yr,Low ($0-35),False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7892-POOKP,0,0,1,0,28,1,1,104.8,3046.05,1,2934.4,111.65000000000009,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True
6388-TABGU,1,0,0,1,62,1,0,56.15,3487.95,0,3481.2999999999997,6.650000000000091,4-6 yr,Mid ($35-65),False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
9763-GRSKD,1,0,1,1,13,1,1,49.95,587.45,0,649.35,61.89999999999998,1-2 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7469-LKBCI,1,0,0,0,16,1,0,18.95,326.8,0,303.2,23.600000000000023,1-2 yr,Low ($0-35),False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
8091-TTVAX,1,0,1,0,58,1,0,100.35,5681.1,0,5820.299999999999,139.1999999999989,4-6 yr,Premium ($90+),True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
0280-XJGEX,1,0,0,0,49,1,1,103.7,5036.3,1,5081.3,45.0,4-6 yr,Premium ($90+),True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
5129-JLPIS,1,0,0,0,25,1,1,105.5,2686.05,0,2637.5,48.55000000000018,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
3655-SNQYZ,0,0,1,1,69,1,0,113.25,7895.15,0,7814.25,80.89999999999964,4-6 yr,Premium ($90+),True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
8191-XWSZG,0,0,0,0,52,1,0,20.65,1022.95,0,1073.8,50.84999999999991,4-6 yr,Low ($0-35),False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
9959-WOFKT,1,0,0,1,71,1,0,106.7,7382.25,0,7575.7,193.44999999999982,4-6 yr,Premium ($90+),True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
4190-MFLUW,0,0,1,1,10,1,0,55.2,528.35,1,552.0,23.649999999999977,0-1 yr,Mid ($35-65),False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
4183-MYFRB,0,0,0,0,21,1,1,90.05,1862.9,0,1891.05,28.149999999999864,1-2 yr,Premium ($90+),True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
8779-QRDMV,1,1,0,0,1,0,1,39.65,39.65,1,39.65,0.0,0-1 yr,Mid ($35-65),False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1680-VDCWW,1,0,1,0,12,1,0,19.8,202.25,0,237.60000000000002,35.35000000000002,0-1 yr,Low ($0-35),False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
1066-JKSGK,1,0,0,0,1,1,0,20.15,20.15,1,20.15,0.0,0-1 yr,Low ($0-35),False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3638-WEABW,0,0,1,0,58,1,1,59.9,3505.1,0,3474.2,30.90000000000009,4-6 yr,Mid ($35-65),False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
6322-HRPFA,1,0,1,1,49,1,0,59.6,2970.3,0,2920.4,49.90000000000009,4-6 yr,Mid ($35-65),False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
6865-JZNKO,0,0,0,0,30,1,1,55.3,1530.6,0,1659.0,128.4000000000001,2-4 yr,Mid ($35-65),False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
6467-CHFZW,1,0,1,1,47,1,1,99.35,4749.15,1,4669.45,79.69999999999982,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
8665-UTDHZ,1,0,1,1,1,0,0,30.2,30.2,1,30.2,0.0,0-1 yr,Low ($0-35),False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
